block,runnable,correct,redundant,irrelevant,notes,file
demo.ipynb Cell 1,Y,Y,N,N,Imports and path setup,demo.ipynb
demo.ipynb Cell 2,Y,Y,N,N,Device setup (CUDA),demo.ipynb
demo.ipynb Cell 3,Y,Y,N,N,Load Lc0sight model,demo.ipynb
demo.ipynb Cell 4,Y,Y,N,N,Initialize LeelaLogitLens,demo.ipynb
demo.ipynb Cell 5,Y,Y,N,N,Create LeelaBoard from FEN,demo.ipynb
demo.ipynb Cell 6,Y,Y,N,N,Single layer lens application,demo.ipynb
demo.ipynb Cell 7,Y,Y,N,N,Top k moves extraction,demo.ipynb
demo.ipynb Cell 8,Y,Y,N,N,Multi-layer lens application,demo.ipynb
demo.ipynb Cell 9,Y,Y,N,N,Print multi-layer results,demo.ipynb
demo.ipynb Cell 10,Y,Y,N,N,Matplotlib imports,demo.ipynb
demo.ipynb Cell 11,Y,Y,N,N,Plotting configuration,demo.ipynb
demo.ipynb Cell 12,Y,Y,N,N,Layer probabilities plot,demo.ipynb
demo.ipynb Cell 13,Y,Y,N,N,Square probabilities analysis,demo.ipynb
demo.ipynb Cell 14,Y,Y,N,N,Interactive board display,demo.ipynb
demo.ipynb Cell 15,Y,Y,N,N,Iceberg imports,demo.ipynb
demo.ipynb Cell 16,Y,Y,N,N,Figure visualization setup,demo.ipynb
demo.ipynb Cell 17,Y,Y,N,N,layer_title function definition,demo.ipynb
demo.ipynb Cell 18,Y,Y,N,N,Create visualization figure,demo.ipynb
demo.ipynb Cell 19,Y,Y,N,N,Display figure,demo.ipynb
demo.ipynb Cell 20,Y,Y,N,N,Load puzzle data,demo.ipynb
demo.ipynb Cell 21,N,Y,N,N,Missing interesting_puzzles_history.pkl,demo.ipynb
demo.ipynb Cell 22,N,Y,N,N,Depends on missing file,demo.ipynb
demo.ipynb Cell 23,N,Y,N,N,Depends on missing file,demo.ipynb
demo.ipynb Cell 24,N,Y,N,N,Depends on missing file,demo.ipynb
demo.ipynb Cell 25,N,Y,N,N,Depends on missing file,demo.ipynb
demo.ipynb Cell 26,N,Y,N,N,Depends on missing file,demo.ipynb
demo.ipynb Cell 27,N,Y,N,N,Depends on missing file,demo.ipynb
demo.ipynb Cell 28,Y,Y,N,N,create_split_probability_tables function,demo.ipynb
demo.ipynb Cell 29,N,Y,N,N,Depends on missing file data,demo.ipynb
demo.ipynb Cell 30,Y,Y,Y,N,Duplicates layer_title from Cell 17,demo.ipynb
demo.ipynb Cell 31,N,Y,N,N,Depends on missing file,demo.ipynb
demo.ipynb Cell 32,N,Y,N,N,Depends on missing file,demo.ipynb
demo.ipynb Cell 33,N,Y,N,N,Depends on missing file,demo.ipynb
demo.ipynb Cell 34,N,Y,N,N,Depends on missing file,demo.ipynb
demo.ipynb Cell 35,N,Y,N,N,Depends on missing file,demo.ipynb
demo.ipynb Cell 36,N,Y,N,N,Depends on missing file,demo.ipynb
demo.ipynb Cell 37,N,Y,N,N,Depends on missing file,demo.ipynb
demo.ipynb Cell 38,N,Y,N,N,Depends on missing file,demo.ipynb
demo.ipynb Cell 39,N,Y,N,N,Depends on missing file,demo.ipynb
figure1.ipynb Cell 1,Y,Y,N,N,Imports and path setup,figure1.ipynb
figure1.ipynb Cell 2,Y,Y,N,N,Device setup (CUDA),figure1.ipynb
figure1.ipynb Cell 3,Y,Y,N,N,Load Lc0sight model,figure1.ipynb
figure1.ipynb Cell 4,Y,Y,N,N,Initialize LeelaLogitLens,figure1.ipynb
figure1.ipynb Cell 5,Y,Y,N,N,Create LeelaBoard from FEN,figure1.ipynb
figure1.ipynb Cell 6,Y,Y,N,N,Get layer indices,figure1.ipynb
figure1.ipynb Cell 7,Y,Y,N,N,Multi-layer lens application,figure1.ipynb
