file,cell_id,runnable,correct_impl,redundant,irrelevant,error_note
puzzle_results.ipynb,fbb6135a,Y,Y,N,N,
puzzle_results.ipynb,fbb6135a,Y,Y,N,N,
puzzle_results.ipynb,ef9ebc5c,N,Y,N,N,Data file missing - needs evaluate_puzzles.py run
puzzle_results.ipynb,4c13abdb,N,Y,N,N,Depends on missing data file
puzzle_results.ipynb,13e757e2,Y,Y,N,N,
puzzle_results.ipynb,940bb9d6,N,Y,N,N,Requires LaTeX and missing data file
puzzle_results.ipynb,59777537,Y,Y,Y,N,Redundant imports
puzzle_results.ipynb,7a01bac4,N,Y,N,N,Requires LaTeX
puzzle_results.ipynb,3c462de3,Y,Y,N,N,
puzzle_results.ipynb,ae9920da,Y,Y,N,N,
puzzle_results.ipynb,0ac9fba0,N,Y,N,N,Requires LaTeX
puzzle_results.ipynb,be97c257,N,Y,N,N,Requires LaTeX and missing data
puzzle_results.ipynb,e9e25e16,Y,Y,N,N,
puzzle_results.ipynb,9b84252f,N,Y,N,N,Missing data file
puzzle_results.ipynb,507f2093,N,Y,N,N,Depends on cell 17
puzzle_results.ipynb,d3d34925,Y,N,N,Y,Empty cell
puzzle_results.ipynb,b721dd4b,Y,N,N,Y,Empty cell
tournament_results.ipynb,f993341d,Y,Y,N,N,
tournament_results.ipynb,2f4cf2d5,Y,Y,N,N,
tournament_results.ipynb,36274eb2,Y,Y,N,N,
tournament_results.ipynb,69c7d495,Y,Y,N,N,
tournament_results.ipynb,a421e197,N,Y,N,N,"Missing BayesElo: True, Missing tournament file: True"
tournament_results.ipynb,7c90cedd,N,Y,N,N,Depends on cell 6
tournament_results.ipynb,082484f9,Y,Y,N,N,
tournament_results.ipynb,ad1564de,N,Y,N,N,Missing BayesElo or tournament file
tournament_results.ipynb,6b058032,N,Y,N,N,Depends on cell 10
tournament_results.ipynb,d53c9449,Y,Y,N,N,
tournament_results.ipynb,9467a1b6,N,Y,N,N,Requires LaTeX
tournament_results.ipynb,b970cd30,Y,Y,N,N,
tournament_results.ipynb,34e28698,Y,Y,N,N,
tournament_results.ipynb,09f35a57,Y,Y,N,N,
tournament_results.ipynb,3d4b75c5,N,Y,N,N,Requires LaTeX and missing data
tournament_results.ipynb,6d6c25b3,N,Y,N,N,Requires LaTeX and missing data
evaluate_puzzles.py,imports,Y,Y,N,N,
evaluate_puzzles.py,local_imports,Y,Y,N,N,
evaluate_puzzles.py,main_function,Y,Y,N,N,
evaluate_puzzles.py,argparse,Y,Y,N,N,
evaluate_concepts.py,local_imports,Y,Y,N,N,
evaluate_concepts.py,main_function,Y,Y,N,N,
evaluate_concepts.py,argparse,Y,Y,N,N,
tournament.py,imports,Y,Y,N,N,
tournament.py,searchless_chess_import,Y,Y,N,N,
tournament.py,local_imports,Y,Y,N,N,
tournament.py,main_function,Y,Y,N,N,
tournament.py,argparse,Y,Y,N,N,
demo.ipynb,cell_0,Y,Y,N,N,
demo.ipynb,cell_1,Y,Y,N,N,
demo.ipynb,cell_2,Y,Y,N,N,
demo.ipynb,cell_3,Y,Y,N,N,
demo.ipynb,cell_4,Y,Y,N,N,
demo.ipynb,cell_5,Y,Y,N,N,
demo.ipynb,cell_6,Y,Y,N,N,
demo.ipynb,cell_7,Y,Y,N,N,
demo.ipynb,cell_8,Y,Y,N,N,
demo.ipynb,cell_9,Y,Y,N,N,
demo.ipynb,cell_10,Y,Y,N,N,
demo.ipynb,cell_11,Y,Y,N,N,
demo.ipynb,cell_12,Y,Y,N,N,
demo.ipynb,cell_13,Y,Y,N,N,
demo.ipynb,cell_14,Y,Y,N,N,
demo.ipynb,cell_15,Y,Y,N,N,
demo.ipynb,cell_16,Y,Y,N,N,
demo.ipynb,cell_17,Y,Y,N,N,
demo.ipynb,cell_18,Y,Y,N,N,
demo.ipynb,cell_19,Y,Y,N,N,
demo.ipynb,cell_20,Y,Y,N,N,
demo.ipynb,cell_21,Y,Y,N,N,
demo.ipynb,cell_22,Y,Y,N,N,
demo.ipynb,cell_23,Y,Y,N,N,
demo.ipynb,cell_24,Y,Y,N,N,
demo.ipynb,cell_25,Y,Y,N,N,
demo.ipynb,cell_26,Y,Y,N,N,
demo.ipynb,cell_27,Y,Y,N,N,
demo.ipynb,cell_28,Y,Y,N,N,
demo.ipynb,cell_29,Y,Y,N,N,
demo.ipynb,cell_30,Y,Y,N,N,
demo.ipynb,cell_31,Y,Y,N,N,
demo.ipynb,cell_32,Y,Y,N,N,
demo.ipynb,cell_33,Y,Y,N,N,
demo.ipynb,cell_34,N,Y,N,N,Monaco font/LaTeX
demo.ipynb,cell_35,N,Y,N,N,Monaco font/LaTeX
demo.ipynb,cell_36,N,Y,N,N,Monaco font/LaTeX
demo.ipynb,cell_37,N,Y,N,N,Monaco font/LaTeX
figure1.ipynb,cell_0,Y,Y,N,N,
figure1.ipynb,cell_1,Y,Y,N,N,
figure1.ipynb,cell_2,Y,Y,N,N,
figure1.ipynb,cell_3,Y,Y,N,N,
figure1.ipynb,cell_4,Y,Y,N,N,
figure1.ipynb,cell_5,Y,Y,N,N,
figure1.ipynb,cell_6,Y,Y,N,N,
figure1.ipynb,cell_7,Y,Y,N,N,
figure1.ipynb,cell_8,Y,Y,N,N,
figure1.ipynb,cell_9,Y,Y,N,N,
figure1.ipynb,cell_10,Y,Y,N,N,
figure1.ipynb,cell_11,Y,Y,N,N,
figure1.ipynb,cell_12,Y,Y,N,N,
figure1.ipynb,cell_13,Y,Y,N,N,
figure1.ipynb,cell_14,Y,Y,N,N,
figure1.ipynb,cell_15,Y,Y,N,N,
figure1.ipynb,cell_16,Y,Y,N,N,
figure1.ipynb,cell_17,Y,Y,N,N,
figure1.ipynb,cell_18,N,Y,N,N,Monaco font/LaTeX
figure1.ipynb,cell_19,N,Y,N,N,Monaco font/LaTeX
figure1.ipynb,cell_20,N,Y,N,N,Monaco font/LaTeX
figure1.ipynb,cell_21,N,Y,N,N,Monaco font/LaTeX
figure1.ipynb,cell_22,N,Y,N,N,Monaco font/LaTeX
figure1.ipynb,cell_23,N,Y,N,N,Monaco font/LaTeX
figure1.ipynb,cell_24,N,Y,N,N,Monaco font/LaTeX
figure1.ipynb,cell_25,N,Y,N,N,Monaco font/LaTeX
figure1.ipynb,cell_26,N,Y,N,N,Monaco font/LaTeX
figure1.ipynb,cell_27,N,Y,N,N,Monaco font/LaTeX
figure1.ipynb,cell_28,N,Y,N,N,Monaco font/LaTeX
forgotten_puzzle_figure.ipynb,cell_0,Y,Y,N,N,
forgotten_puzzle_figure.ipynb,cell_1,Y,Y,N,N,
forgotten_puzzle_figure.ipynb,cell_2,Y,Y,N,N,
forgotten_puzzle_figure.ipynb,cell_3,Y,Y,N,N,
forgotten_puzzle_figure.ipynb,cell_4,Y,Y,N,N,
forgotten_puzzle_figure.ipynb,cell_5,Y,Y,N,N,
forgotten_puzzle_figure.ipynb,cell_6,Y,Y,N,N,
forgotten_puzzle_figure.ipynb,cell_7,Y,Y,N,N,
forgotten_puzzle_figure.ipynb,cell_8,Y,Y,N,N,
forgotten_puzzle_figure.ipynb,cell_9,Y,Y,N,N,
forgotten_puzzle_figure.ipynb,cell_10,Y,Y,N,N,
forgotten_puzzle_figure.ipynb,cell_11,Y,Y,N,N,
forgotten_puzzle_figure.ipynb,cell_12,Y,Y,N,N,
forgotten_puzzle_figure.ipynb,cell_13,Y,Y,N,N,
forgotten_puzzle_figure.ipynb,cell_14,Y,Y,N,N,
forgotten_puzzle_figure.ipynb,cell_15,N,Y,N,N,Monaco font/LaTeX
forgotten_puzzle_figure.ipynb,cell_16,N,Y,N,N,Monaco font/LaTeX
forgotten_puzzle_figure.ipynb,cell_17,N,Y,N,N,Monaco font/LaTeX
forgotten_puzzle_figure.ipynb,cell_18,N,Y,N,N,Monaco font/LaTeX
forgotten_puzzle_figure.ipynb,cell_19,N,Y,N,N,Monaco font/LaTeX
forgotten_puzzle_figure.ipynb,cell_20,N,Y,N,N,Monaco font/LaTeX
forgotten_puzzle_figure.ipynb,cell_21,N,Y,N,N,Monaco font/LaTeX
forgotten_puzzle_figure.ipynb,cell_22,N,Y,N,N,Monaco font/LaTeX
forgotten_puzzle_figure.ipynb,cell_23,N,Y,N,N,Monaco font/LaTeX
forgotten_puzzle_figure.ipynb,cell_24,N,Y,N,N,Monaco font/LaTeX
forgotten_puzzle_figure.ipynb,cell_25,N,Y,N,N,Monaco font/LaTeX
policy_metrics.ipynb,cell_0,Y,Y,N,N,
policy_metrics.ipynb,cell_1,Y,Y,N,N,
policy_metrics.ipynb,cell_2,Y,Y,N,N,
policy_metrics.ipynb,cell_3,Y,Y,N,N,
policy_metrics.ipynb,cell_4,Y,Y,N,N,
policy_metrics.ipynb,cell_5,Y,Y,N,N,
policy_metrics.ipynb,cell_6,Y,Y,N,N,
policy_metrics.ipynb,cell_7,Y,Y,N,N,
policy_metrics.ipynb,cell_8,Y,Y,N,N,
policy_metrics.ipynb,cell_9,Y,Y,N,N,
policy_metrics.ipynb,cell_10,Y,Y,N,N,
policy_metrics.ipynb,cell_11,Y,Y,N,N,
